//char	type	Width	Filename
赶	text	12	FontText赶.png
感	text	12	FontText感.png
秆	text	12	FontText秆.png
敢	text	12	FontText敢.png
赣	text	12	FontText赣.png
冈	text	12	FontText冈.png
刚	text	12	FontText刚.png
钢	text	12	FontText钢.png
缸	text	12	FontText缸.png
肛	text	12	FontText肛.png
纲	text	12	FontText纲.png
岗	text	12	FontText岗.png
港	text	12	FontText港.png
杠	text	12	FontText杠.png
篙	text	12	FontText篙.png
皋	text	12	FontText皋.png
高	text	12	FontText高.png
膏	text	12	FontText膏.png
羔	text	12	FontText羔.png
糕	text	12	FontText糕.png
搞	text	12	FontText搞.png
镐	text	12	FontText镐.png
稿	text	12	FontText稿.png
告	text	12	FontText告.png
哥	text	12	FontText哥.png
歌	text	12	FontText歌.png
搁	text	12	FontText搁.png
戈	text	12	FontText戈.png
鸽	text	12	FontText鸽.png
胳	text	12	FontText胳.png
疙	text	12	FontText疙.png
割	text	12	FontText割.png
革	text	12	FontText革.png
葛	text	12	FontText葛.png
格	text	12	FontText格.png
蛤	text	12	FontText蛤.png
阁	text	12	FontText阁.png
隔	text	12	FontText隔.png
铬	text	12	FontText铬.png
个	text	12	FontText个.png
各	text	12	FontText各.png
给	text	12	FontText给.png
根	text	12	FontText根.png
跟	text	12	FontText跟.png
耕	text	12	FontText耕.png
更	text	12	FontText更.png
庚	text	12	FontText庚.png
羹	text	12	FontText羹.png
埂	text	12	FontText埂.png
耿	text	12	FontText耿.png
梗	text	12	FontText梗.png
工	text	12	FontText工.png
攻	text	12	FontText攻.png
功	text	12	FontText功.png
恭	text	12	FontText恭.png
龚	text	12	FontText龚.png
供	text	12	FontText供.png
躬	text	12	FontText躬.png
公	text	12	FontText公.png
宫	text	12	FontText宫.png
弓	text	12	FontText弓.png
巩	text	12	FontText巩.png
汞	text	12	FontText汞.png
拱	text	12	FontText拱.png
贡	text	12	FontText贡.png
共	text	12	FontText共.png
钩	text	12	FontText钩.png
勾	text	12	FontText勾.png
沟	text	12	FontText沟.png
苟	text	12	FontText苟.png
狗	text	12	FontText狗.png
